##dt = 0.001
#time; temp; press; pe
# Fix print output for fix out
13.800000000000000711; 491.61115648887653151; -3080.9179200168659918; -2056.9931232081594317
14; 505.42591716213104291; -2178.5342933439824264; -2054.2001802881877666
14.200000000000001066; 508.22933418600200639; 609.43457121208450644; -2054.1111695546660485
14.400000000000000355; 487.50838823018295898; 2656.956817097419389; -2054.4041569017540496
14.599999999999999645; 490.19261285562578223; 3496.0111663084085194; -2055.0254140865090449
14.800000000000000711; 472.15963820105093873; 3959.3087477910712551; -2056.3381304457029728
15; 518.21431121739647097; 640.14056238012881295; -2056.2540594626570964
15.200000000000001066; 483.02385623368309098; -1780.5887227908688146; -2055.0110121569368857
15.400000000000000355; 530.01471726181819122; -3722.5422251859381504; -2054.3724173129307928
15.599999999999999645; 497.15625894022446118; -2401.7864097399919956; -2054.9529559051516117
